OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
2.16.840.1.113883.3.666.5.1145|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Statin Prescribed at Discharge|Medication|0639|CMS30v4|
2.16.840.1.113883.3.666.5.1151|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Procedure|0163|CMS53v3|
2.16.840.1.113883.3.666.5.1151|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Procedure|0164|CMS60v3|
2.16.840.1.113883.3.666.5.1566|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1680:Impaired Fetal Growth I10),(2.16.840.1.113883.3.666.5.1681:Impaired Fetal Growth S),(2.16.840.1.113883.3.666.5.1679:Impaired Fetal Growth I9)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1567|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1686:Birth Trauma or Injuries I9),(2.16.840.1.113883.3.666.5.1687:Birth Trauma or Injuries I10),(2.16.840.1.113883.3.666.5.1688:Birth Trauma or Injuries S)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1568|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1675:Newborn Affected by Unbilical Cord Complications I9),(2.16.840.1.113883.3.666.5.1674:Newborn Affected by Placenta or Abruption S),(2.16.840.1.113883.3.666.5.1678:Newborn Affected by Unbilical Cord Complications S),(2.16.840.1.113883.3.666.5.1672:Newborn Affected by Placenta or Abruption I9),(2.16.840.1.113883.3.666.5.1677:Newborn Affected by Unbilical Cord Complications I10),(2.16.840.1.113883.3.666.5.1673:Newborn Affected by Placenta or Abruption I10)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1570|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1565:Congenital Anomalies I9),(2.16.840.1.113883.3.666.5.1671:Congenital Anomalies S),(2.16.840.1.113883.3.666.5.1670:Congenital Anomalies I10)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1571|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1683:Hemolytic Disease I9),(2.16.840.1.113883.3.666.5.1685:Hemolytic Disease S),(2.16.840.1.113883.3.666.5.1684:Hemolytic Disease I10)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1573|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1696:Hydrops I9),(2.16.840.1.113883.3.666.5.1697:Hydrops I10),(2.16.840.1.113883.3.666.5.1689:Hydrops S)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1574|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1694:Drug Withdrawal Syndrome I10),(2.16.840.1.113883.3.666.5.1695:Drug Withdrawal Syndrome S),(2.16.840.1.113883.3.666.5.1693:Drug Withdrawal Syndrome I9)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1576|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1709:Laryngeal Stenosis I9),(2.16.840.1.113883.3.666.5.1710:Laryngeal Stenosis S)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1577|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1703:Hypoxia or Asphyxia I9),(2.16.840.1.113883.3.666.5.1702:Hypoxia or Asphyxia S),(2.16.840.1.113883.3.666.5.1704:Hypoxia or Asphyxia I10)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1580|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1690:Congenital or Infantile Cerebral Palsy I9),(2.16.840.1.113883.3.666.5.1691:Congenital or Infantile Cerebral Palsy I10),(2.16.840.1.113883.3.666.5.1692:Congenital or Infantile Cerebral Palsy S)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1581|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1730:Shock and Complications S),(2.16.840.1.113883.3.666.5.1731:Shock and Complications I9),(2.16.840.1.113883.3.666.5.1733:Shock and Complications I10)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1582|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1932:Arterial or Umbilical Venous Cath S),(2.16.840.1.113883.3.666.5.1763:Arterial or Umbilical Venous Cath I9),(2.16.840.1.113883.3.666.5.1931:Arterial or Umbilical Venous Cath I10)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1583|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1946:TPN Procedure S),(2.16.840.1.113883.3.666.5.1764:TPN Procedure I10),(2.16.840.1.113883.3.666.5.1945:TPN Procedure  I9)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1584|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1765:Gastrostomy I9),(2.16.840.1.113883.3.666.5.1682:Gastrostomy I10),(2.16.840.1.113883.3.666.5.1935:Gastrostomy S)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1585|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1936:Gavage Feeding I10),(2.16.840.1.113883.3.666.5.2308:Enteral Feeding),(2.16.840.1.113883.3.666.5.1766:Gavage Feeding I9)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1586|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1933:Cardiopulmonary Resuscitation I10),(2.16.840.1.113883.3.666.5.1767:Cardiopulmonary Resuscitation I9),(2.16.840.1.113883.3.666.5.1934:Cardiopulmonary Resuscitation S)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1588|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1728:Respiratory Problems I9),(2.16.840.1.113883.3.666.5.1729:Respiratory Problems I10),(2.16.840.1.113883.3.666.5.1727:Respiratory Problems S)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1589|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1768:Respiratory Procedures I9),(2.16.840.1.113883.3.666.5.1944:Respiratory Procedures S),(2.16.840.1.113883.3.666.5.1943:Respiratory Procedures I10)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1590|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1706:Infection I9),(2.16.840.1.113883.3.666.5.1705:Infection S),(2.16.840.1.113883.3.666.5.1707:Infection I10)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1591|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1720:Neurologic Complications I10),(2.16.840.1.113883.3.666.5.1714:Neurologic Complications S),(2.16.840.1.113883.3.666.5.1713:Neurologic Complications I9)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1592|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1769:Neurologic Procedure I9),(2.16.840.1.113883.3.666.5.1938:Neurologic Procedure I10),(2.16.840.1.113883.3.666.5.1939:Neurologic Procedure S)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1593|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1699:Hyperbilirubinemia I9),(2.16.840.1.113883.3.666.5.1700:Hyperbilirubinemia I10),(2.16.840.1.113883.3.666.5.1701:Hyperbilirubinemia IS)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1594|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1770:Phototherapy Procedure I9),(2.16.840.1.113883.3.666.5.1942:Phototherapy Procedure S),(2.16.840.1.113883.3.666.5.1941:Phototherapy Procedure I10)|FY 2014 EH|Healthy Term Newborn|Procedure|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1595|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1736:Social Reasons I9),(2.16.840.1.113883.3.666.5.1737:Social Reasons I10),(2.16.840.1.113883.3.666.5.1735:Social Reasons S)|FY 2014 EH|Healthy Term Newborn|Condition/Diagnosis/Problem|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1596|20140401|California Maternal Quality Care Collaborative|Grouping|(2.16.840.1.113883.3.666.5.1738:Term Newborn S),(2.16.840.1.113883.3.666.5.1739:Term Newborn I9)|FY 2014 EH|Healthy Term Newborn|Physical Exam|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1618|20140401|California Maternal Quality Care Collaborative|Extensional||FY 2014 EH|Healthy Term Newborn|Attribute|0716|CMS185v3|
2.16.840.1.113883.3.666.5.1726|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2345:Hospital Measures-Immunodeficient Conditions I9),(2.16.840.1.113883.3.666.5.2342:Hospital Measures-Immunodeficient Conditions SM-CT),(2.16.840.1.113883.3.666.5.2344:Hospital Measures-Immunodeficient Conditions I10)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.1741|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.1087:Hospital Measures-Pacemaker or implantable defibrillator procedure),(2.16.840.1.113883.3.666.5.1840:Hospital Measures-Pacemaker or implantable defibrillator procedure),(2.16.840.1.113883.3.666.5.1838:Hospital Measures-Pacemaker or implantable defibrillator procedure)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Procedure|0527|CMS171v4|
2.16.840.1.113883.3.666.5.1741|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.1087:Hospital Measures-Pacemaker or implantable defibrillator procedure),(2.16.840.1.113883.3.666.5.1840:Hospital Measures-Pacemaker or implantable defibrillator procedure),(2.16.840.1.113883.3.666.5.1838:Hospital Measures-Pacemaker or implantable defibrillator procedure)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Procedure|0528|CMS172v4|
2.16.840.1.113883.3.666.5.1743|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.348:General or Neuraxial Anesthesia),(2.16.840.1.113762.1.4.1045.38:General Or Neuraxial Anesthesia)|FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Procedure|0372|CMS190v3|
2.16.840.1.113883.3.666.5.1743|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.348:General or Neuraxial Anesthesia),(2.16.840.1.113762.1.4.1045.38:General Or Neuraxial Anesthesia)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Procedure|0527|CMS171v4|
2.16.840.1.113883.3.666.5.1743|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.348:General or Neuraxial Anesthesia),(2.16.840.1.113762.1.4.1045.38:General Or Neuraxial Anesthesia)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Procedure|0528|CMS172v4|
2.16.840.1.113883.3.666.5.1743|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.348:General or Neuraxial Anesthesia),(2.16.840.1.113762.1.4.1045.38:General Or Neuraxial Anesthesia)|FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Procedure|0453|CMS178v4|
2.16.840.1.113883.3.666.5.1743|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.348:General or Neuraxial Anesthesia),(2.16.840.1.113762.1.4.1045.38:General Or Neuraxial Anesthesia)|FY 2014 EH|Venous Thromboembolism Prophylaxis|Procedure|0371|CMS108v3|
2.16.840.1.113883.3.666.5.1816|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.1813:Hospital measures-knee arthroplasty),(2.16.840.1.113883.3.666.5.1812:Hospital measures-knee arthroplasty),(2.16.840.1.113883.3.666.5.704:Hospital measures-knee arthroplasty)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Procedure|0528|CMS172v4|
2.16.840.1.113883.3.666.5.1816|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.1813:Hospital measures-knee arthroplasty),(2.16.840.1.113883.3.666.5.1812:Hospital measures-knee arthroplasty),(2.16.840.1.113883.3.666.5.704:Hospital measures-knee arthroplasty)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Procedure|0527|CMS171v4|
2.16.840.1.113883.3.666.5.1921|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2260:Hospital measures-Caesarean section),(2.16.840.1.113883.3.666.5.711:Hospital measures-Caesarean section),(2.16.840.1.113883.3.666.5.1835:Hospital measures-Caesarean section)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Procedure|0527|CMS171v4|
2.16.840.1.113883.3.666.5.1940|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.1740:Hospital Measures-Immunocompromised Conditions I9),(2.16.840.1.113883.3.666.5.2343:Hospital Measures-Immunocompromised Conditons SM-CT),(2.16.840.1.113883.3.666.5.2328:Hospital Measures-Immunocompromised Conditions I10)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2128|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Medication|0453|CMS178v4|
2.16.840.1.113883.3.666.5.2129|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Medication|0453|CMS178v4|
2.16.840.1.113883.3.666.5.2160|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2158:Hospital Measures-Restrictive lung disease I10),(2.16.840.1.113883.3.666.5.778:Hospital Measures-Restrictive lung disease),(2.16.840.1.113883.3.666.5.2166:Hospital Measures-Restrictive lung disease I9)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2162|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.1057:Hospital Measures-Respiratory infection),(2.16.840.1.113883.3.666.5.2165:Hospital Measures-Respiratory infection I9),(2.16.840.1.113883.3.666.5.2157:Hospital Measures-Respiratory infection I10)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2192|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2193:Hospital Measures-Wound Care I10),(2.16.840.1.113883.3.666.5.2194:Hospital Measures-Wound Care I9),(2.16.840.1.113883.3.666.5.2196:Hospital Measures-Wound Care SM-CT)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Intervention|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2197|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2199:Hospital Measures-Prolonged QT Interval I9),(2.16.840.1.113883.3.666.5.2198:Hospital Measures-Prolonged QT Interval I10),(2.16.840.1.113883.3.666.5.2200:Hospital Measures-Prolonged QT Interval SM-CT)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2202|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Transfer of Care|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2203|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Medication|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2204|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Medication|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2205|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2208:Hospital Measures-Francisella Tularensis or Yersinia pestis SM-CT),(2.16.840.1.113883.3.666.5.2206:Hospital Measures-Francisella Tularensis or Yersinia pestis I10),(2.16.840.1.113883.3.666.5.2207:Hospital Measures-Francisella Tularensis or Yersinia pestis I9)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2254|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Attribute|0528|CMS172v4|
2.16.840.1.113883.3.666.5.2256|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.902:Hospital Measures - Any Infection (ICD-9-CM)),(2.16.840.1.113883.3.666.5.2316:Hospital measures - any infection SNOMED),(2.16.840.1.113883.3.666.5.2259:Any Infection Prior to Anesthesia Concepts),(2.16.840.1.113883.3.666.5.2257:Any Infection Prior to Anesthesia Concepts),(2.16.840.1.113883.3.666.5.903:Hospital Measures - Any Infection (ICD-10-CM)),(2.16.840.1.113883.3.666.5.2258:Any Infection Prior to Anesthesia Concepts)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Condition/Diagnosis/Problem|0527|CMS171v4|
2.16.840.1.113883.3.666.5.2256|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.902:Hospital Measures - Any Infection (ICD-9-CM)),(2.16.840.1.113883.3.666.5.2316:Hospital measures - any infection SNOMED),(2.16.840.1.113883.3.666.5.2259:Any Infection Prior to Anesthesia Concepts),(2.16.840.1.113883.3.666.5.2257:Any Infection Prior to Anesthesia Concepts),(2.16.840.1.113883.3.666.5.903:Hospital Measures - Any Infection (ICD-10-CM)),(2.16.840.1.113883.3.666.5.2258:Any Infection Prior to Anesthesia Concepts)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Condition/Diagnosis/Problem|0528|CMS172v4|
2.16.840.1.113883.3.666.5.2275|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2307:Hospital measures-Cardiac Valve Surgery ICD10),(2.16.840.1.113883.3.666.5.2276:Hospital measures-Cardiac Valve Surgery SNOMED),(2.16.840.1.113883.3.666.5.722:Hospital measures-Cardiac valve surgery)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Procedure|0528|CMS172v4|
2.16.840.1.113883.3.666.5.2278|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.716:Hospital Measures-MRSA Colonization or Infection),(2.16.840.1.113883.3.666.5.2279:Hospital Measures-MRSA Colonization or Infection),(2.16.840.1.113883.3.666.5.2277:Hospital Measures-MRSA Infection)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Condition/Diagnosis/Problem|0528|CMS172v4|
2.16.840.1.113883.3.666.5.2282|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2281:Hospital measures-Hemodialysis or peritoneal dialysis),(2.16.840.1.113883.3.666.5.2280:Hospital measures-Hemodialysis or peritoneal dialysis),(2.16.840.1.113883.3.666.5.718:Hospital Measures-Hemodialysis or peritoneal dialysis)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Procedure|0528|CMS172v4|
2.16.840.1.113883.3.666.5.2282|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2281:Hospital measures-Hemodialysis or peritoneal dialysis),(2.16.840.1.113883.3.666.5.2280:Hospital measures-Hemodialysis or peritoneal dialysis),(2.16.840.1.113883.3.666.5.718:Hospital Measures-Hemodialysis or peritoneal dialysis)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Procedure|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2289|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Encounter|0528|CMS172v4|
2.16.840.1.113883.3.666.5.2310|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.46:SCIP Urological/Perineal procedures with potential need of indwelling catheters),(2.16.840.1.113883.3.666.5.819:Hospital Measures-SCIP Urological/Perineal procedures with potential need of indwelling catheters),(2.16.840.1.113883.3.666.5.2309:SCIP Urological/Perineal procedures with potential need of indwelling catheters ICD9CM)|FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Procedure|0453|CMS178v4|
2.16.840.1.113883.3.666.5.2313|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2312:Hospital Measures-SCIP urinary diversion procedures ICD10PCS),(2.16.840.1.113883.3.666.5.2311:Hospital Measures-SCIP urinary diversion procedures ICD9CM),(2.16.840.1.113883.3.666.5.1050:Hospital Measures-SCIP urinary diversion procedures)|FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Procedure|0453|CMS178v4|
2.16.840.1.113883.3.666.5.2319|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.673:Hospital Measures-Respiratory failure acute or chronic),(2.16.840.1.113883.3.666.5.2320:Hospital Measures-Respiratory failure acute or chronic I10),(2.16.840.1.113883.3.666.5.2321:Hospital Measures-Respiratory failure acute or chronic I9)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2348|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2351:Hospital Measures-Immunocompromised Therapies SM-CT),(2.16.840.1.113883.3.666.5.2350:Hospital Measures-Immunocompromised Therapies I9),(2.16.840.1.113883.3.666.5.2349:Hospital Measures-Immunocompromised Therapies I10)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Procedure|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2365|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Attribute|0147|CMS188v4|
2.16.840.1.113883.3.666.5.2486|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Attribute|0453|CMS178v4|
2.16.840.1.113883.3.666.5.3006|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Transfer of Care|0164|CMS60v3|
2.16.840.1.113883.3.666.5.3006|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Transfer of Care|0163|CMS53v3|
2.16.840.1.113883.3.666.5.3011|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.3024:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.623:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.622:Hospital Measures-AMI)|FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Condition/Diagnosis/Problem|0164|CMS60v3|
2.16.840.1.113883.3.666.5.3011|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.3024:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.623:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.622:Hospital Measures-AMI)|FY 2014 EH|Aspirin Prescribed at Discharge|Condition/Diagnosis/Problem|0142|CMS100v3|
2.16.840.1.113883.3.666.5.3011|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.3024:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.623:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.622:Hospital Measures-AMI)|FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Condition/Diagnosis/Problem|0163|CMS53v3|
2.16.840.1.113883.3.666.5.3011|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.3024:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.623:Hospital Measures-AMI),(2.16.840.1.113883.3.666.5.622:Hospital Measures-AMI)|FY 2014 EH|Statin Prescribed at Discharge|Condition/Diagnosis/Problem|0639|CMS30v4|
2.16.840.1.113883.3.666.5.3013|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Transfer of Care|0164|CMS60v3|
2.16.840.1.113883.3.666.5.3013|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Transfer of Care|0163|CMS53v3|
